golden_case_id,review_family,primary_verdict,severity,input_unknowns_review,scope_validity_review,completeness_withholding_review,classification_review,action_review,trace_provenance_review,review_decision_review,finding_ids,review_notes
hpg-057-fever-malaria-and-measles,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-058-fever-measles-last-three-months,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-059-fever-malaria-risk-unknown,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-060-fever-test-result-unknown,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-061-ear-no-infection,EAR_PROBLEM,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-062-ear-acute-pain,EAR_PROBLEM,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-063-ear-acute-discharge-13,EAR_PROBLEM,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-064-ear-chronic-discharge-14,EAR_PROBLEM,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-065-ear-observed-pus-no-history,EAR_PROBLEM,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-066-ear-mastoiditis,EAR_PROBLEM,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-067-ear-duration-unknown,EAR_PROBLEM,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-068-cross-four-pathways,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-069-cross-urgent-dehydration-ear,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-070-cross-multiple-urgent,WHOLE_ENCOUNTER_INTEGRATION,DEFECT_ORACLE_OR_SCHEMA,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGRR-FIND-002,Below-threshold rate incorrectly fires the fast-breathing threshold rule.
hpg-071-incomplete-entry-unknown,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-072-incomplete-multiple-groups,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-073-incomplete-known-urgent,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-074-incomplete-internal-classification-withheld,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-075-contradiction-drinking,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-076-complete-danger-plus-all-pathways,WHOLE_ENCOUNTER_INTEGRATION,DEFECT_ORACLE_OR_SCHEMA,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGRR-FIND-002,Below-threshold rate incorrectly fires the fast-breathing threshold rule.
hpg-077-out-of-scope-age-1,SCOPE_REJECTION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
hpg-078-out-of-scope-age-60,SCOPE_REJECTION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Independent re-review found no case-specific defect.
