golden_case_id,review_family,primary_verdict,severity,input_unknowns_review,scope_validity_review,completeness_withholding_review,classification_review,action_review,trace_provenance_review,review_decision_review,finding_ids,review_notes
hpg-011-resp-age-12-rate-40,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-012-resp-age-59-rate-40,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-013-resp-chest-hiv-negative,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-014-resp-chest-hiv-positive,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-015-resp-stridor,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-016-resp-oximeter-89-9,RESPIRATORY,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-017-resp-oximeter-90,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-018-resp-prolonged-cough,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-019-resp-recurrent-wheeze,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-020-resp-post-bronchodilator-improved,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-021-resp-post-bronchodilator-fast,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-022-resp-trial-outstanding,RESPIRATORY,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-023-resp-child-not-calm,RESPIRATORY,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-024-resp-count-not-one-minute,RESPIRATORY,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-025-resp-oximeter-missing-value,RESPIRATORY,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-026-resp-chest-hiv-unknown,RESPIRATORY,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-027-diarrhoea-no-dehydration,DIARRHOEA,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-028-diarrhoea-some-dehydration,DIARRHOEA,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-029-diarrhoea-severe-plan-c-under-24m,DIARRHOEA,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-030-diarrhoea-severe-age-24-no-cholera,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-031-diarrhoea-severe-age-24-cholera,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-032-diarrhoea-duration-13,DIARRHOEA,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-033-diarrhoea-duration-14-persistent,DIARRHOEA,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-034-diarrhoea-severe-persistent,DIARRHOEA,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-035-diarrhoea-dysentery,DIARRHOEA,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-036-diarrhoea-persistent-and-dysentery,DIARRHOEA,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-037-diarrhoea-positive-drinking-reuse,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-038-diarrhoea-negative-does-not-reuse,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-039-diarrhoea-duration-unknown,DIARRHOEA,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-040-diarrhoea-cholera-context-unknown,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-041-fever-high-positive,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-042-fever-high-negative,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-043-fever-high-test-unavailable,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-044-fever-low-obvious-cause,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-045-fever-low-no-cause-positive,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-046-fever-no-risk,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002;HGR-FIND-004,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result. Coverage metadata repeats fever and should be normalized before freeze.
hpg-047-fever-temperature-38-4,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-048-fever-temperature-38-5,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-049-fever-duration-7,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-050-fever-duration-8-not-every-day,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-051-fever-duration-8-every-day,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-052-fever-identified-bacterial-cause,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-053-fever-measles,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-054-fever-measles-eye,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-055-fever-severe-measles-cornea,FEVER_AND_MEASLES,DEFECT_ORACLE_OR_SCHEMA,P1,PASS,PASS,FAIL,PASS,FAIL,FAIL,FAIL,HGR-FIND-001;HGR-FIND-002,Severe-complicated-measles Vitamin A and indicated tetracycline eye ointment are incorrectly deferred from the immediate urgent workflow. review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-056-fever-severe-stiff-neck,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-057-fever-malaria-and-measles,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-058-fever-measles-last-three-months,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-059-fever-malaria-risk-unknown,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGR-FIND-003,"The case is semantically correct, but its non-firing assessment requirement or scope boundary has no exact source/requirement citation."
hpg-060-fever-test-result-unknown,FEVER_AND_MEASLES,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGR-FIND-003,"The case is semantically correct, but its non-firing assessment requirement or scope boundary has no exact source/requirement citation."
hpg-061-ear-no-infection,EAR_PROBLEM,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-062-ear-acute-pain,EAR_PROBLEM,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-063-ear-acute-discharge-13,EAR_PROBLEM,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-064-ear-chronic-discharge-14,EAR_PROBLEM,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-065-ear-observed-pus-no-history,EAR_PROBLEM,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-066-ear-mastoiditis,EAR_PROBLEM,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-067-ear-duration-unknown,EAR_PROBLEM,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002;HGR-FIND-003,"review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result. The case is semantically correct, but its non-firing assessment requirement or scope boundary has no exact source/requirement citation."
hpg-068-cross-four-pathways,WHOLE_ENCOUNTER_INTEGRATION,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002,review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result.
hpg-069-cross-urgent-dehydration-ear,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-070-cross-multiple-urgent,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-071-incomplete-entry-unknown,WHOLE_ENCOUNTER_INTEGRATION,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGR-FIND-003,"The case is semantically correct, but its non-firing assessment requirement or scope boundary has no exact source/requirement citation."
hpg-072-incomplete-multiple-groups,WHOLE_ENCOUNTER_INTEGRATION,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,FAIL,HGR-FIND-002;HGR-FIND-003,"review_decision_ids are over-inclusive and/or omit a decision that directly governs the expected result. The case is semantically correct, but its non-firing assessment requirement or scope boundary has no exact source/requirement citation."
hpg-073-incomplete-known-urgent,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-074-incomplete-internal-classification-withheld,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-075-contradiction-drinking,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-076-complete-danger-plus-all-pathways,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Source/policy review found no case-specific defect; input, expected result, withholding behavior, action trace, and cited provenance align within the approved bounded scope."
hpg-077-out-of-scope-age-1,SCOPE_REJECTION,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGR-FIND-003,"The case is semantically correct, but its non-firing assessment requirement or scope boundary has no exact source/requirement citation."
hpg-078-out-of-scope-age-60,SCOPE_REJECTION,DEFECT_CASE_SPEC,P2,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,HGR-FIND-003,"The case is semantically correct, but its non-firing assessment requirement or scope boundary has no exact source/requirement citation."
