golden_case_id,review_family,primary_verdict,severity,input_unknowns_review,scope_validity_review,completeness_withholding_review,classification_review,action_review,trace_provenance_review,review_decision_review,finding_ids,review_notes
hpg-027-diarrhoea-no-dehydration,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-028-diarrhoea-some-dehydration,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-029-diarrhoea-severe-plan-c-under-24m,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-030-diarrhoea-severe-age-24-no-cholera,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-031-diarrhoea-severe-age-24-cholera,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-032-diarrhoea-duration-13,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-033-diarrhoea-duration-14-persistent,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-034-diarrhoea-severe-persistent,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-035-diarrhoea-dysentery,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-036-diarrhoea-persistent-and-dysentery,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-037-diarrhoea-positive-drinking-reuse,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-038-diarrhoea-negative-does-not-reuse,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-039-diarrhoea-duration-unknown,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-040-diarrhoea-cholera-context-unknown,DIARRHOEA,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-041-fever-high-positive,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-042-fever-high-negative,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-043-fever-high-test-unavailable,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-044-fever-low-obvious-cause,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-045-fever-low-no-cause-positive,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-046-fever-no-risk,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-047-fever-temperature-38-4,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-048-fever-temperature-38-5,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-049-fever-duration-7,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-050-fever-duration-8-not-every-day,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-051-fever-duration-8-every-day,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-052-fever-identified-bacterial-cause,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-053-fever-measles,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-054-fever-measles-eye,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-055-fever-severe-measles-cornea,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-056-fever-severe-stiff-neck,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-057-fever-malaria-and-measles,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-058-fever-measles-last-three-months,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-059-fever-malaria-risk-unknown,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-060-fever-test-result-unknown,FEVER_AND_MEASLES,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-061-ear-no-infection,EAR_PROBLEM,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-062-ear-acute-pain,EAR_PROBLEM,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-063-ear-acute-discharge-13,EAR_PROBLEM,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-064-ear-chronic-discharge-14,EAR_PROBLEM,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-065-ear-observed-pus-no-history,EAR_PROBLEM,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-066-ear-mastoiditis,EAR_PROBLEM,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-067-ear-duration-unknown,EAR_PROBLEM,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-068-cross-four-pathways,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-069-cross-urgent-dehydration-ear,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-070-cross-multiple-urgent,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Verified age-specific fast-breathing rule fires only for a valid rate meeting the threshold; false trace/provenance removed.
hpg-071-incomplete-entry-unknown,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-072-incomplete-multiple-groups,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-073-incomplete-known-urgent,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-074-incomplete-internal-classification-withheld,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-075-contradiction-drinking,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-076-complete-danger-plus-all-pathways,WHOLE_ENCOUNTER_INTEGRATION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,Verified age-specific fast-breathing rule fires only for a valid rate meeting the threshold; false trace/provenance removed.
hpg-077-out-of-scope-age-1,SCOPE_REJECTION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
hpg-078-out-of-scope-age-60,SCOPE_REJECTION,PASS_SOURCE_ALIGNED,NONE,PASS,PASS,PASS,PASS,PASS,PASS,PASS,,"Revalidated against the pinned v3 oracle, canonical rules/policy, exact provenance, and unchanged case semantics; no defect found."
